frame,t1,theta1,t2,theta2
270,8.9950,70.6439,10.6443,68.3117
320,10.6443,68.3117,12.2795,65.9912
370,12.2795,65.9912,13.9075,64.9872
420,13.9075,64.9872,15.5374,63.1862
470,15.5374,63.1862,17.1500,61.5484
512,17.1500,61.5484,18.7616,60.1102
564,18.7616,60.1102,20.3681,58.3919
610,20.3681,58.3919,21.9595,56.4780
658,21.9595,56.4780,23.5581,55.5399
706,23.5581,55.5399,25.1512,54.7086
754,25.1512,54.7086,26.7425,53.6776
802,26.7425,53.6776,28.3313,52.8859
850,28.3313,52.8859,29.9178,52.0349
898,29.9178,52.0349,31.5009,51.1840
946,31.5009,51.1840,33.0813,50.3555
994,33.0813,50.3555,34.6601,49.7643
1038,34.6601,49.7643,36.2348,49.0897
1085,36.2348,49.0897,37.8089,48.2261
1131,37.8089,48.2261,39.3823,47.8323
1179,39.3823,47.8323,40.9522,47.1996
2115,70.5354,38.4092,72.0815,37.9136
2901,96.7421,32.9455,98.2783,32.6774